##x	cubic 	quartic
-0.784	10.7628043924744	10.620788395559
-0.782	11.2378740828994	11.1539555392675
-0.78	11.7129437733243	11.6836016252013
-0.778	12.1880134637493	12.2097266533603
-0.776	12.6630831541743	12.7323306237445
-0.774	13.1381528445992	13.251413536354
-0.772	13.6132225350242	13.7669753911888
-0.77	14.0882922254492	14.2790161882487
-0.768	14.5633619158742	14.787535927534
-0.766	15.0384316062991	15.2925346090444
-0.764	15.5135012967241	15.7940122327801
-0.762	15.9885709871491	16.291968798741
-0.76	16.463640677574	16.7864043069272
-0.758	16.938710367999	17.2773187573386
-0.756	17.413780058424	17.7647121499752
-0.754	17.888849748849	18.2485844848371
-0.752	18.3639194392739	18.7289357619242
-0.75	18.8389891296989	19.2057659812366
-0.748	19.3140588201239	19.6790751427742
-0.746	19.7891285105489	20.148863246537
-0.744	20.2641982009738	20.6151302925251
-0.742	20.7392678913988	21.0778762807384
-0.74	21.2143375818238	21.5371012111769
-0.738	21.6894072722488	21.9928050838407
-0.736	22.1644769626737	22.4449878987297
-0.734	22.6395466530987	22.893649655844
-0.732	23.1146163435237	23.3387903551835
-0.73	23.5896860339487	23.7804099967482
-0.728	24.0647557243736	24.2185085805382
-0.726	24.5398254147986	24.6530861065534
-0.724	25.0148951052236	25.0841425747939
-0.722	25.4899647956486	25.5116779852596
-0.72	25.9650344860735	25.9356923379505
-0.718	26.4401041764985	26.3561856328667
-0.716	26.9151738669235	26.7731578700081
-0.714	27.3902435573485	27.1866090493747
-0.712	27.8653132477734	27.5965391709666
-0.71	28.3403829381984	28.0029482347837
-0.708	28.8154526286234	28.4058362408261
-0.706	29.2905223190484	28.8052031890936
-0.704	29.7655920094733	29.2010490795865
-0.702	30.2406616998983	29.5933739123046
-0.7	30.7157313903233	29.9821776872479
-0.698	31.1341052416272	30.3385070747914
-0.696	31.3844029605172	30.6905086391246
-0.694	31.6347006794072	31.0381823802475
-0.692	31.8849983982972	31.38152829816
-0.69	32.1352961171873	31.7205463928622
-0.688	32.3855938360773	32.055236664354
-0.686	32.6358915549673	32.3855991126355
-0.684	32.8861892738573	32.7116337377066
-0.682	33.1364869927474	33.0333405395674
-0.68	33.3867847116374	33.3507195182178
-0.678	33.6370824305274	33.6637706736579
-0.676	33.8873801494174	33.9724940058876
-0.674	34.1376778683074	34.276889514907
-0.672	34.3879755871975	34.576957200716
-0.67	34.6382733060875	34.8726970633147
-0.668	34.8885710249775	35.164109102703
-0.666	35.1388687438675	35.451193318881
-0.664	35.3891664627576	35.7339497118486
-0.662	35.6394641816476	36.0123782816059
-0.66	35.8897619005376	36.2864790281529
-0.658	36.1400596194276	36.5562519514894
-0.656	36.3903573383176	36.8216970516157
-0.654	36.6406550572077	37.0828143285316
-0.652	36.8909527760977	37.3396037822371
-0.65	37.1412504949877	37.5920654127323
-0.648	37.3915482138777	37.8401992200172
-0.646	37.6418459327678	38.0840052040917
-0.644	37.8921436516578	38.3234833649558
-0.642	38.1424413705478	38.5586337026096
-0.64	38.3927390894378	38.7894562170531
-0.638	38.6430368083278	39.0159509082862
-0.636	38.8933345272179	39.2381177763089
-0.634	39.1436322461079	39.4559568211213
-0.632	39.3939299649979	39.6694680427234
-0.63	39.6442276838879	39.8786514411151
-0.628	39.8945254027779	40.0835070162965
-0.626	40.144823121668	40.2840347682675
-0.624	40.395120840558	40.4802346970282
-0.622	40.645418559448	40.6721068025785
-0.62	40.895716278338	40.8596510849184
-0.618	41.1460139972281	41.0428675440481
-0.616	41.3963117161181	41.2217561799673
-0.614	41.6466094350081	41.3963169926763
-0.612	41.8969071538981	41.5665499821748
-0.61	42.1472048727881	41.7324551484631
-0.608	42.3975025916782	41.8940324915409
-0.606	42.6478003105682	42.0512820114085
-0.604	42.8980980294582	42.2042037080656
-0.602	43.1483957483482	42.3527975815125
-0.6	43.3986934672382	42.497063631749
-0.598	43.3561294309506	42.6056373104591
-0.596	43.3646828542553	42.710128529765
-0.594	43.37323627756	42.8105372896666
-0.592	43.3817897008647	42.9068635901638
-0.59	43.3903431241694	42.9991074312568
-0.588	43.3988965474741	43.0872688129454
-0.586	43.4074499707787	43.1713477352298
-0.584	43.4160033940834	43.2513441981098
-0.582	43.4245568173881	43.3272582015855
-0.58	43.4331102406928	43.399089745657
-0.578	43.4416636639975	43.4668388303241
-0.576	43.4502170873022	43.5305054555869
-0.574	43.4587705106069	43.5900896214454
-0.572	43.4673239339116	43.6455913278996
-0.57	43.4758773572163	43.6970105749495
-0.568	43.484430780521	43.7443473625951
-0.566	43.4929842038256	43.7876016908364
-0.564	43.5015376271303	43.8267735596734
-0.562	43.510091050435	43.861862969106
-0.56	43.5186444737397	43.8928699191344
-0.558	43.5271978970444	43.9197944097585
-0.556	43.5357513203491	43.9426364409782
-0.554	43.5443047436538	43.9613960127937
-0.552	43.5528581669585	43.9760731252048
-0.55	43.5614115902632	43.9866677782117
-0.548	43.5699650135679	43.9931799718142
-0.546	43.5785184368726	43.9956097060124
-0.544	43.5870718601772	43.9939569808064
-0.542	43.5956252834819	43.988221796196
-0.54	43.6041787067866	43.9784041521813
-0.538	43.6127321300913	43.9645040487623
-0.536	43.621285553396	43.946521485939
-0.534	43.6298389767007	43.9244564637114
-0.532	43.6383924000054	43.8983089820795
-0.53	43.6469458233101	43.8680790410433
-0.528	43.6554992466148	43.8337666406028
-0.526	43.6640526699195	43.795371780758
-0.524	43.6726060932242	43.7528944615088
-0.522	43.6811595165288	43.7063346828554
-0.52	43.6897129398335	43.6556924447977
-0.518	43.6982663631382	43.6009677473356
-0.516	43.7068197864429	43.5421605904693
-0.514	43.7153732097476	43.4792709741986
-0.512	43.7239266330523	43.4122988985237
-0.51	43.732480056357	43.3412443634444
-0.508	43.7410334796617	43.2661073689608
-0.506	43.7495869029664	43.186887915073
-0.504	43.7581403262711	43.1035860017808
-0.502	43.7666937495758	43.0162016290843
-0.5	43.5564564392268	42.9247347969835
-0.498	43.3651140251542	42.8076828480387
-0.496	43.1737716110816	42.6875986352112
-0.494	42.982429197009	42.5644821585009
-0.492	42.7910867829364	42.4383334179078
-0.49	42.5997443688638	42.3091524134319
-0.488	42.4084019547913	42.1769391450733
-0.486	42.2170595407187	42.0416936128319
-0.484	42.0257171266461	41.9034158167078
-0.482	41.8343747125735	41.7621057567009
-0.48	41.6430322985009	41.6177634328112
-0.478	41.4516898844283	41.4703888450387
-0.476	41.2603474703557	41.3199819933835
-0.474	41.0690050562831	41.1665428778455
